Exported Data from KCMS (Python)
,Overall Rank,Overall Points,Long Jump Result,Long Jump Placing,Long Jump Point,Javelin Result,Javelin Placing,Javelin Point,200m Result,200m Placing,200m Point,Discus Result,Discus Placing,Discus Point,1500m Result,1500m Placing,1500m Point
Patsy Vanhorn,45,0,13163.01,835,0,95849.73,956,0,63087.97,633,0,22413.43,786,0,78442.12,782,0
Marie Nice,46,0,71790.54000000001,277,0,9890.29,99,0,93799.1,937,0,50736.450000000004,501,0,95632.69,957,0
Hailey Onofrio,47,0,36866.92,605,0,2398.5,29,0,80938.45,805,0,66688.01,346,0,28426.02,262,0
Sabrina Horsey,48,0,21522.06,756,0,15321.74,150,0,46048.950000000004,480,0,15198.33,858,0,11896.84,108,0
Maryanne Cummingham,49,0,11702.93,860,0,66358.28,655,0,47029.23,494,0,53282.76,482,0,5980.78,45,0
Hildegard Baltazar,50,0,75819.35,233,0,75393.18000000001,750,0,979.22,9,0,97677.23,23,0,61493.62,597,0
Floyd Jaquith,51,0,63270.74,358,0,94926.3,938,0,19741.09,197,0,41800.69,582,0,95104.08,946,0
Kevin Heitzman,52,0,53544.58,460,0,74633.38,742,0,5874.81,52,0,40377.31,600,0,24374.8,225,0
Velia Groesbeck,53,0,56773.33,423,0,99373.0,991,0,61129.6,618,0,25120.14,751,0,25334.32,236,0
Caridad Steiner,54,0,36988.46,603,0,41898.05,429,0,97001.82,969,0,96407.6,39,0,11425.960000000001,102,0
Victorina Junk,55,0,49191.450000000004,510,0,87568.98,866,0,17022.19,172,0,96808.48,35,0,37638.8,367,0
Diego Kroner,56,0,78175.85,204,0,79891.42,792,0,70935.85,713,0,23405.56,774,0,79673.34,792,0
Merissa Maheux,57,0,43871.98,551,0,6042.07,68,0,26352.57,259,0,64981.57,358,0,42563.79,422,0
Owen Quisenberry,58,0,90176.34,94,0,62205.26,618,0,54519.22,564,0,56433.630000000005,446,0,58704.05,584,0
Frederica Montalto,59,0,4303.5,936,0,21947.600000000002,212,0,48376.24,506,0,65760.45,353,0,81503.51,808,0
Cathi Pinkard,60,0,11522.02,865,0,4659.77,56,0,40785.05,426,0,77491.25,236,0,39944.33,386,0
Nicolette Mackinnon,61,0,11099.97,867,0,4292.79,50,0,24140.46,241,0,60491.51,400,0,72132.76,713,0
Nicki Irish,62,0,29340.45,672,0,95225.32,946,0,40182.08,415,0,95129.27,54,0,58278.4,577,0
Tiera Wink,63,0,91892.12,75,0,81497.46,804,0,39411.22,405,0,75608.59,250,0,52133.450000000004,517,0
Joann Kinoshita,64,0,34019.98,639,0,48371.270000000004,481,0,959.1700000000001,8,0,84844.71,158,0,6401.41,52,0
Haylee Nolan,65,0,55849.58,435,0,37886.19,386,0,89101.74,883,0,9672.23,909,0,70552.38,694,0
Jack Carpenter,66,0,66369.62,326,0,71881.71,714,0,92186.99,917,0,21153.87,797,0,56281.35,562,0
Elvis Adkins,67,0,60571.36,387,0,63253.97,630,0,7449.78,70,0,46180.05,540,0,57168.22,569,0
Sergio Carrillo,68,0,25659.38,709,0,51434.81,512,0,83157.42,832,0,95157.35,53,0,52954.46,527,0
Charles Cook,69,0,54216.22,454,0,23072.28,227,0,70723.84,709,0,62756.08,378,0,36796.24,359,0
Rachel Carney,70,0,63150.78,359,0,12633.89,128,0,63812.74,641,0,66709.76,345,0,42804.24,428,0
Emerson Blankenship,71,0,18790.16,781,0,44168.6,445,0,1802.69,25,0,24824.47,757,0,46125.04,452,0
Dalia Mccarthy,72,0,26746.84,700,0,35507.770000000004,372,0,61907.23,623,0,88599.66,124,0,33446.45,324,0
Magdalena Barnes,73,0,53343.73,461,0,19356.49,190,0,93791.68000000001,936,0,22512.510000000002,783,0,10465.12,87,0
Keshawn Chan,74,0,88256.62,108,0,38930.39,399,0,26309.88,258,0,28949.670000000002,708,0,32914.75,318,0
Kenny David,75,0,23292.99,736,0,78622.35,777,0,61561.85,620,0,30190.0,695,0,34934.94,338,0
Harper Fox,76,0,79286.32,196,0,16262.91,157,0,31494.66,315,0,25189.23,750,0,19521.100000000002,192,0
Josue Castillo,77,0,51898.85,476,0,33600.06,352,0,40477.450000000004,421,0,52621.840000000004,488,0,74646.15000000001,738,0
Scarlet Potter,78,0,65297.020000000004,337,0,59417.67,586,0,58202.51,594,0,7410.38,932,0,72648.74,716,0
Quinten Johns,79,0,96950.47,32,0,11643.5,117,0,87612.33,870,0,45893.29,544,0,73878.14,731,0
Hailie Lowe,80,0,58048.48,405,0,20528.14,201,0,80137.7,799,0,87520.58,142,0,97268.92,974,0
Violet Gillespie,81,0,73707.74,256,0,81882.14,808,0,77771.77,775,0,28121.21,723,0,97183.31,972,0
Mia Willis,82,0,12617.25,845,0,62148.85,617,0,34843.28,353,0,3379.2000000000003,974,0,95757.56,959,0
Essence Hester,83,0,52802.75,466,0,58205.65,574,0,1500.97,18,0,69435.13,315,0,56840.69,568,0
Abbey Montoya,84,0,94700.74,49,0,73780.57,735,0,31206.64,311,0,18464.18,823,0,11129.960000000001,99,0
Jamir Morse,85,0,99779.42,4,0,57724.19,571,0,6736.5,62,0,55944.65,451,0,28950.600000000002,271,0
Janiyah Cabrera,86,0,54006.03,459,0,17778.09,171,0,42569.020000000004,444,0,25400.03,748,0,29442.79,276,0
Kaylin Espinoza,87,0,70396.90000000001,292,0,54954.3,544,0,34579.43,348,0,48893.25,522,0,81127.89,805,0
Karina Mcknight,88,0,72676.33,269,0,48804.16,486,0,73746.66,731,0,40651.66,594,0,60312.770000000004,590,0
Brock Waller,89,0,29543.45,668,0,23811.27,239,0,75019.54000000001,745,0,91006.45,100,0,18085.08,181,0
Trevon Fritz,90,0,95277.34,45,0,4708.54,57,0,88171.62,876,0,70574.66,303,0,26023.41,243,0
Linda Mckinney,91,0,82002.66,166,0,34599.9,362,0,81365.12,818,0,37852.22,627,0,71429.94,705,0
Chasity Patton,92,0,33823.47,642,0,31507.08,335,0,75722.90000000001,753,0,74232.75,265,0,76891.6,760,0
Aidyn Garza,93,0,25598.12,710,0,56243.65,552,0,94131.11,942,0,58968.85,421,0,64755.67,628,0
Kaylen Chaney,94,0,50965.55,484,0,31069.0,322,0,91753.77,909,0,73813.65000000001,273,0,51199.450000000004,512,0
Adelyn Valenzuela,95,0,78250.42,203,0,89035.85,884,0,58293.74,595,0,73693.96,274,0,16424.010000000002,158,0
Austin Cannon,96,0,14444.970000000001,820,0,4346.56,52,0,46357.200000000004,485,0,46257.38,538,0,19101.28,189,0
Theresa White,97,0,43827.35,552,0,47555.24,474,0,69503.73,694,0,3545.04,970,0,77276.27,766,0
Alina Lucas,98,0,42795.53,564,0,33344.39,350,0,34992.91,355,0,76220.31,245,0,43574.41,432,0
Kale Herman,99,0,35806.5,616,0,31022.29,319,0,61118.04,617,0,70432.2,306,0,7686.97,67,0
Tanya Hurley,100,0,29640.96,666,0,9621.210000000001,96,0,31626.4,318,0,14063.89,873,0,12425.67,116,0
Javon Riggs,101,0,6465.360000000001,910,0,98708.81,982,0,15814.210000000001,154,0,27973.88,726,0,15966.5,153,0
Kara Booth,102,0,70201.82,294,0,43219.73,440,0,29817.21,296,0,98749.57,10,0,80663.43000000001,801,0
Lincoln Owens,103,0,15255.02,810,0,61307.44,605,0,42525.68,443,0,35516.55,648,0,17643.13,173,0
Sterling Scott,104,0,66287.91,328,0,93042.25,915,0,39259.14,399,0,48386.090000000004,526,0,73277.56,724,0
Taryn Fisher,105,0,87297.99,123,0,55297.33,546,0,73686.28,730,0,5579.9800000000005,947,0,99351.42,997,0
Kailyn Reid,106,0,75043.53,244,0,76388.63,758,0,74569.37,740,0,23884.44,768,0,1581.39,14,0
Houston Mcdaniel,107,0,44440.37,548,0,30376.06,313,0,7969.52,77,0,99217.51000000001,6,0,61645.630000000005,600,0
Harry Wilson,108,0,6251.360000000001,913,0,11336.29,111,0,71932.46,722,0,85779.84,153,0,55419.76,548,0
Salvador Michael,109,0,71914.81,276,0,51959.0,517,0,48788.93,511,0,28379.06,717,0,40675.81,397,0
Bryan Church,110,0,52189.21,472,0,22777.37,222,0,8887.41,85,0,930.95,994,0,55503.54,551,0
Lucas Hendricks,111,0,11664.04,862,0,20253.8,196,0,26535.66,262,0,36080.700000000004,642,0,13555.75,126,0
Yaritza Marks,112,0,35424.6,620,0,22601.96,220,0,40156.64,414,0,42712.65,572,0,95218.75,950,0
Chad Graham,113,0,14947.16,815,0,44911.590000000004,449,0,22440.57,222,0,40058.4,604,0,41116.92,403,0
Jairo Crane,114,0,28595.49,679,0,61636.32,609,0,55552.86,575,0,50610.42,504,0,11460.92,103,0
Kale Petty,115,0,93133.6,66,0,88993.63,883,0,17682.920000000002,178,0,82334.23,182,0,53841.08,537,0
Ava Nelson,116,0,1797.75,976,0,63968.35,632,0,47306.9,496,0,14885.79,862,0,53380.39,535,0
Julian Nguyen,117,0,96703.99,35,0,78094.54000000001,769,0,47829.090000000004,501,0,88537.44,126,0,41587.270000000004,414,0
Daniel Bolton,118,0,2128.79,974,0,3613.78,42,0,46185.79,483,0,28244.75,721,0,91956.63,920,0
Pedro Frye,119,0,74961.98,246,0,55463.39,548,0,70915.45,710,0,88351.16,130,0,2085.19,16,0
Lorenzo Levy,120,0,49312.39,506,0,65374.43,646,0,45580.13,475,0,82016.47,186,0,50408.56,501,0
Ayana Jarvis,121,0,2355.46,970,0,79814.31,791,0,96587.38,965,0,59059.98,418,0,81766.55,811,0
Kamden Spears,122,0,46363.24,533,0,97969.58,979,0,39677.43,407,0,41384.89,586,0,80353.08,795,0
Salvatore Calhoun,123,0,73184.6,264,0,69422.71,692,0,48236.76,503,0,69563.84,314,0,81960.98,816,0
Rodrigo Mckinney,124,0,65939.72,332,0,79915.08,793,0,30170.45,301,0,11192.75,890,0,73153.24,720,0
Kierra Oneill,125,0,12177.18,854,0,88388.23,876,0,78564.12,782,0,97889.69,18,0,42790.35,427,0
Janae Padilla,126,0,87843.74,117,0,92620.36,911,0,70347.83,703,0,33218.46,665,0,13452.32,124,0
Kamari Moss,127,0,29735.14,665,0,38666.19,396,0,70207.41,700,0,77887.79000000001,235,0,92758.23,927,0
Alaina Lawrence,128,0,4089.2400000000002,942,0,62321.700000000004,619,0,76841.25,759,0,34285.95,659,0,29052.53,272,0
Branden Steele,129,0,50274.97,492,0,4166.9400000000005,49,0,54091.99,557,0,79814.29000000001,212,0,20925.12,198,0
Cassius Ball,130,0,49978.85,495,0,6958.83,75,0,32646.55,327,0,49799.73,511,0,98569.7,993,0
Luz Zimmerman,131,0,87356.85,122,0,81414.47,803,0,40390.3,420,0,1223.41,993,0,86539.11,864,0
Rowan Stokes,132,0,81097.79000000001,177,0,87371.26,862,0,80967.33,810,0,46403.98,537,0,7259.33,61,0
Claire Espinoza,133,0,10314.87,878,0,16715.03,162,0,51789.99,536,0,16114.69,848,0,20417.18,194,0
Silas Middleton,134,0,72935.24,265,0,86436.05,847,0,5271.9400000000005,46,0,22861.59,779,0,3116.57,29,0
Justice Navarro,135,0,4081.17,943,0,84817.78,833,0,54442.9,561,0,17160.35,832,0,81970.46,817,0
Sergio Palmer,136,0,89742.45,98,0,41744.62,427,0,34194.01,345,0,53624.54,480,0,96790.73,968,0
Kailey Gonzalez,137,0,91319.97,79,0,24732.93,245,0,46812.61,491,0,78399.96,231,0,44588.65,446,0
Nola Robles,138,0,70567.35,290,0,60554.020000000004,597,0,98682.48,990,0,36222.14,640,0,35866.64,346,0
Brennen Frost,139,0,22253.420000000002,745,0,36345.090000000004,377,0,91674.15000000001,907,0,21498.97,791,0,39974.66,387,0
Edwin Marquez,140,0,52667.61,469,0,87342.05,861,0,11160.82,105,0,56948.96,443,0,94417.35,941,0
Kamari Eaton,141,0,51684.81,478,0,66310.68000000001,653,0,55236.53,572,0,10709.65,900,0,87985.17,878,0
Riley Woodward,142,0,40892.75,580,0,43249.91,441,0,24495.34,245,0,59066.28,417,0,60490.69,592,0
Danika Adams,143,0,20505.13,765,0,27129.18,273,0,75563.39,751,0,90878.75,102,0,7631.07,66,0
Erik Leach,144,0,89964.21,96,0,62535.56,622,0,77410.52,767,0,16127.79,847,0,73194.6,722,0
Taylor Lin,145,0,68778.56,309,0,42323.950000000004,432,0,44137.58,459,0,11632.91,884,0,71642.11,708,0
Alannah Kirby,146,0,26282.14,703,0,66734.03,662,0,39763.15,408,0,11266.82,889,0,59209.69,586,0
Casey Figueroa,147,0,75068.56,242,0,10068.09,101,0,20945.33,207,0,4995.32,958,0,30425.84,291,0
Aleah Dixon,148,0,16018.59,799,0,93415.55,921,0,96581.91,964,0,34085.840000000004,661,0,17711.09,176,0
Moises Mckay,149,0,74987.34,245,0,15985.9,152,0,97478.73,974,0,31897.8,679,0,2209.35,17,0
Muhammad Glenn,150,0,11870.68,856,0,27860.24,283,0,24485.170000000002,244,0,76478.14,242,0,18988.28,186,0
Lennon Shannon,151,0,99522.11,6,0,96969.91,965,0,60336.380000000005,612,0,21003.8,800,0,20794.79,197,0
Giada Case,152,0,27233.28,693,0,85708.04000000001,840,0,97890.84,978,0,69728.48,311,0,16186.28,154,0
Omari Oneal,153,0,10476.98,877,0,685.72,12,0,18509.9,185,0,61082.17,391,0,7131.17,58,0
Jayda Church,154,0,68259.91,312,0,87318.08,860,0,33413.06,336,0,79191.35,222,0,22412.32,210,0
Bethany Weaver,155,0,24901.71,718,0,46858.08,468,0,53921.42,554,0,54033.020000000004,475,0,90485.06,902,0
Kaleb Conrad,156,0,60594.79,385,0,43552.42,444,0,38039.200000000004,388,0,40701.4,592,0,91079.41,912,0
Erica Yates,157,0,30224.760000000002,660,0,67640.8,673,0,83304.6,834,0,28616.8,714,0,13975.43,134,0
Kieran Whitehead,158,0,79573.01,191,0,25236.9,251,0,65422.25,654,0,40516.840000000004,598,0,42587.03,423,0
Carissa Kirby,159,0,47951.05,521,0,41114.18,420,0,44067.03,457,0,18403.49,824,0,35455.57,344,0
Judah Miranda,160,0,9360.01,887,0,86473.48,848,0,14400.630000000001,139,0,53163.08,484,0,62833.4,607,0
Kristina Washington,161,0,9704.78,882,0,89217.08,885,0,64589.520000000004,648,0,76932.92,239,0,72015.22,711,0
Rylee Whitaker,162,0,81248.36,174,0,31407.29,331,0,34775.12,352,0,68703.53,320,0,78737.85,784,0
Roger Nolan,163,0,12683.91,844,0,31764.79,337,0,64485.24,644,0,26521.28,739,0,65865.53,641,0
Annabella Pierce,164,0,7887.56,897,0,12398.84,123,0,85086.93000000001,847,0,81721.63,190,0,58567.43,582,0
Aden Fields,165,0,74086.29000000001,253,0,49156.96,494,0,36420.48,372,0,91660.48,95,0,28341.2,261,0
Lauryn Hodges,166,0,39564.18,585,0,93856.74,924,0,15538.91,150,0,57524.92,438,0,87034.28,869,0
Lily Downs,167,0,9388.95,886,0,26995.68,269,0,39371.61,404,0,44200.74,563,0,50263.520000000004,497,0
Catalina Cortez,168,0,87776.39,118,0,91619.55,904,0,26763.96,263,0,12289.01,880,0,93643.90000000001,934,0
Ray Silva,169,0,29417.02,671,0,65723.15,648,0,31651.29,319,0,88833.26,120,0,22306.12,209,0
Moriah Franklin,170,0,10554.7,875,0,96233.44,959,0,44749.41,464,0,34866.89,651,0,64418.46,626,0
Cash Cline,171,0,65714.56,334,0,44302.54,446,0,2659.31,31,0,82870.07,174,0,33922.37,330,0
Mckinley Lynch,172,0,41731.29,571,0,81804.77,807,0,55119.51,569,0,50356.14,507,0,56463.6,564,0
Camron Garrison,173,0,92703.99,69,0,4618.04,55,0,75855.19,755,0,21469.5,792,0,18477.87,183,0
Mylie Villa,174,0,4912.3,927,0,25179.010000000002,250,0,38824.36,395,0,18976.36,816,0,39473.590000000004,382,0
Katrina Shelton,175,0,2163.14,973,0,41728.82,426,0,33891.7,343,0,67936.83,330,0,74599.56,736,0
Joy Barrett,176,0,22122.19,747,0,73852.40000000001,736,0,38052.74,389,0,6355.66,940,0,4305.1,38,0
Irvin Potter,177,0,7962.93,894,0,35973.16,375,0,28099.97,274,0,225.36,1000,0,65165.55,633,0
Tessa Oconnor,178,0,735.22,991,0,1256.29,18,0,43419.01,455,0,68349.49,326,0,90975.31,910,0
Ana Shaffer,179,0,2845.0,961,0,12514.89,125,0,36868.1,378,0,49554.82,513,0,39046.44,381,0
Aryanna Strickland,180,0,65562.62,335,0,362.85,4,0,86959.61,863,0,67752.24,331,0,89865.32,894,0
Yareli Jefferson,181,0,81318.49,173,0,49860.79,502,0,30625.0,304,0,19662.850000000002,810,0,90174.11,898,0
Liliana Frost,182,0,10494.01,876,0,57262.62,567,0,31168.59,310,0,46252.3,539,0,80401.42,796,0
Jayda Reid,183,0,13827.34,828,0,26857.99,266,0,97327.88,972,0,88804.19,121,0,36141.770000000004,352,0
Ignacio Compton,184,0,61044.97,383,0,9611.52,95,0,88361.78,878,0,34161.1,660,0,78385.16,781,0
Cheyenne Gomez,185,0,5643.53,918,0,76952.33,762,0,45232.66,469,0,42583.97,573,0,93639.91,933,0
Gerald Pitts,186,0,83399.52,156,0,91190.34,900,0,44116.8,458,0,48020.71,527,0,73029.27,718,0
Thalia George,187,0,49275.98,508,0,76154.17,754,0,48708.98,509,0,93734.59,75,0,44340.57,442,0
Reginald Haynes,188,0,43572.6,556,0,48949.22,488,0,26416.49,261,0,59390.1,414,0,52634.21,524,0
Milton Werner,189,0,98000.38,22,0,2570.93,32,0,32978.35,331,0,32900.92,669,0,11480.73,105,0
Arjun Wyatt,190,0,27837.66,688,0,22122.75,216,0,92652.42,922,0,3246.14,975,0,31451.71,301,0
Demarcus Reilly,191,0,35120.5,624,0,48340.75,477,0,16569.29,168,0,22255.850000000002,789,0,46282.67,456,0
Noe Yang,192,0,92169.6,72,0,59210.94,584,0,33649.770000000004,340,0,607.77,997,0,64820.79,629,0
Alfonso Conway,193,0,51024.4,483,0,61136.12,603,0,38887.39,396,0,76130.54000000001,247,0,36809.48,360,0
Akira Obrien,194,0,4188.61,940,0,29801.38,304,0,61130.65,619,0,62144.57,383,0,7478.29,64,0
Marcos Hale,195,0,76721.03,224,0,75554.8,751,0,97096.61,971,0,98141.72,15,0,87516.45,874,0
Brittany Anderson,196,0,62503.23,366,0,82307.75,812,0,63463.0,636,0,21428.670000000002,793,0,65505.810000000005,637,0
Koen Phillips,197,0,86565.29000000001,133,0,39628.89,407,0,71753.82,721,0,24471.78,762,0,51085.41,510,0
Hadley House,198,0,77700.90000000001,209,0,8781.17,89,0,59269.49,604,0,81543.76,193,0,96261.82,963,0
Jesus Ellison,199,0,61298.4,378,0,65759.07,649,0,30430.77,303,0,24553.18,761,0,29202.45,274,0
Abraham Archer,200,0,27126.97,696,0,40426.590000000004,413,0,12660.880000000001,124,0,90761.94,103,0,46807.83,460,0
Violet Jarvis,201,0,241.23000000000002,997,0,88119.68000000001,872,0,64551.92,646,0,39098.92,613,0,42355.69,420,0
Andreas Anthony,202,0,56295.25,432,0,61591.9,608,0,39271.61,400,0,94717.77,61,0,8404.27,76,0
Harmony Luna,203,0,74720.46,247,0,2499.78,30,0,16403.72,165,0,37869.08,626,0,48229.92,473,0
Lindsey Rowland,204,0,24962.13,717,0,72749.49,724,0,9760.22,96,0,95353.05,51,0,38266.31,375,0
Harley Anthony,205,0,38523.38,589,0,42023.87,431,0,71169.62,716,0,8562.1,919,0,76339.86,747,0
Madalynn Roberts,206,0,77246.12,218,0,84702.95,831,0,16880.03,171,0,57569.08,437,0,90734.29000000001,908,0
Kylie Chapman,207,0,21002.86,761,0,34974.62,365,0,92909.04000000001,925,0,88313.81,131,0,32415.71,312,0
Caitlyn Brennan,208,0,78395.31,201,0,71444.23,708,0,78441.0,781,0,70149.95,308,0,17824.39,178,0
David Madden,209,0,65746.13,333,0,58283.880000000005,577,0,24460.2,242,0,96732.88,37,0,30870.170000000002,295,0
Freddy Rubio,210,0,88033.63,114,0,3454.61,40,0,29630.97,293,0,63472.83,372,0,58083.0,573,0
Adonis Walters,211,0,72098.23,274,0,61889.97,614,0,988.66,10,0,35696.25,645,0,23802.670000000002,221,0
Kailey Monroe,212,0,96849.79000000001,33,0,99780.59,1000,0,37481.58,383,0,54277.29,472,0,32581.48,313,0
Armani Kidd,213,0,63432.37,357,0,57225.0,566,0,39898.44,410,0,52145.19,490,0,7183.28,59,0
April Baldwin,214,0,15487.92,808,0,8961.25,90,0,82074.14,823,0,28674.89,713,0,76005.57,745,0
Triston Wilkins,215,0,75353.8,236,0,87566.40000000001,865,0,18891.4,191,0,16929.3,836,0,89186.04000000001,886,0
Nicole Cochran,216,0,13098.48,838,0,17976.71,172,0,16782.82,170,0,2384.43,984,0,40048.21,389,0
Makhi Swanson,217,0,24736.940000000002,721,0,22558.56,217,0,87664.23,873,0,67708.69,332,0,36263.950000000004,355,0
Julia Horton,218,0,36568.33,609,0,13540.66,132,0,94133.14,943,0,33604.520000000004,662,0,8692.22,78,0
Haleigh Odom,219,0,1635.76,979,0,63991.04,633,0,74391.98,737,0,36240.72,639,0,67946.39,669,0
Abigayle Yang,220,0,42993.9,562,0,75103.18000000001,748,0,70124.03,697,0,50702.96,503,0,15523.470000000001,148,0
Devyn Bentley,221,0,45314.86,541,0,29850.12,307,0,14373.5,138,0,81979.38,188,0,42922.58,429,0
Enrique Calderon,222,0,29779.11,664,0,67916.92,675,0,60286.06,611,0,71100.75,298,0,12600.970000000001,118,0
Makena Holt,223,0,68956.02,307,0,45420.06,451,0,25105.68,250,0,3073.92,977,0,75803.41,742,0
Bryan Mann,224,0,3020.37,956,0,406.55,5,0,79507.62,792,0,29119.64,703,0,65878.16,642,0
Heather Fletcher,225,0,80789.25,183,0,60642.36,599,0,83311.88,835,0,45957.55,543,0,73608.85,729,0
Phoenix Marks,226,0,94008.99,56,0,96234.63,960,0,41437.9,434,0,6918.400000000001,936,0,96391.47,966,0
Nyla Long,227,0,46227.39,535,0,16408.32,160,0,93862.37,939,0,48947.12,521,0,24906.61,233,0
Holden Downs,228,0,9553.5,883,0,71052.04000000001,706,0,15899.4,157,0,75227.28,255,0,10756.87,93,0
Adan Li,229,0,12304.32,850,0,75166.75,749,0,77516.11,771,0,10968.09,895,0,10704.59,90,0
Draven Cochran,230,0,71398.3,284,0,48684.39,484,0,43160.17,454,0,56795.57,444,0,40271.82,392,0
